name,pbo_appearances
Thomas Patrick Ward,8
Tom Farrell,8
Umar Khan,8
Vasyl Lomachenko,8
Vladimir Hernandez,8
Vladimir Shishkin,8
Yoshiki Takei,8
Yves Ulysse Jr,8
Abel Ramos,7
Adam Kownacki,7
Alan Picasso Romero,7
Alberto Puello,7
Andrei Mikhailovich,7
Angel Acosta,7
Anthony Olascuaga,7
Antonio Moran,7
Arnold Khegai,7
Arturo Popoca,7
Avery Sparrow,7
Bakhram Murtazaliev,7
Batyrzhan Jukembayev,7
Bec Connolly,7
Bek Nurmaganbet,7
Blair Cobbs,7
Brandon Adams,7
Brandon Moore,7
Cain Sandoval,7
Callum Peters,7
Carlo Paalam,7
Carlos Takam,7
Cecilia Braekhus,7
Cesar Juarez,7
Chloe Watson,7
Chris Eubank Jr,7
Christian Hammer,7
Christian Lopez Flores,7
Christopher Guerrero,7
Cori Gibbs,7
Daigo Higa,7
Dainier Pero,7
Danny Dignum,7
Darwing Martinez,7
David Stevens,7
Des Newton,7
Duke Ragan,7
Eduardo Baez,7
Edy Valencia Mercado,7
Efetobor Apochi,7
Elnur Abduraimov,7
Emmanuel Buttigieg,7
Engel Gomez,7
Fabio Turchi,7
Faiga Opelu,7
Fiodor Czerkaszyn,7
Floyd Diaz,7
Francesco Grandelli,7
Frankie Stringer,7
Gary Antonio Russell,7
George Arias,7
Gor Yeritsyan,7
Grant Flores,7
Guillermo Rigondeaux,7
Hamza Uddin,7
Harry Garside,7
Hasanboy Dusmatov,7
Hayato Tsutsumi,7
Henry Lebron,7
Henry Lundy,7
Ilunga Makabu,7
Imam Khataev,7
Isaac Cruz,7
Ismael Barroso,7
Ivan Redkach,7
Jack Brubaker,7
Jalen Tait,7
Jarico O'Quinn,7
Jarrett Hurd,7
Jason Cunningham,7
Jason Fawcett,7
Javier Fortuna,7
Jermall Charlo,7
Jerome Pampellone,7
Jerry Forrest,7
Jerry Perez,7
Jessie Magdaleno,7
Jon Fernandez,7
Jonathan Jose Eniz,7
Jordan Thompson,7
Jorge Cota,7
Junaid Bostan,7
Justin Hodges,7
Kelvin Davis,7
Kid Galahad,7
Kiko Martinez,7
Kosei Tanaka,7
Kurt Scoby,7
Kyrone Davis,7
Leli Buttigieg,7
Lewis Edmondson,7
Lucas Browne,7
Luis Alberto Veron,7
Luke McCormack,7
Macaulay McGowan,7
Marcel Braithwaite,7
Marcus Browne,7
Mark Dickinson,7
Mark Magsayo,7
Mathieu Germain,7
Maxim Prodan,7
Michael Angeletti,7
Michael Polite Coffie,7
Michael Wallisch,7
Miguel Berchelt,7
Nathan Gorman,7
Nico Leivars,7
Oleksandr Gvozdyk,7
Oscar Duarte Jurado,7
Oshae Jones,7
Owen Cooper,7
Ramon Cardenas,7
Rances Barthelemy,7
Reece Mould,7
Reshat Mati,7
Rhys Edwards,7
Ricardo Nunez,7
Ricards Bolotniks,7
Richard Commey,7
Ronny Rios,7
Rylan Charlton,7
Sarah Bormann,7
Shabaz Masoud,7
Shane Mosley Jr,7
Shohjahon Ergashev,7
Sofiane Oumiha,7
Souleymane Cissokho,7
Stephen Clarke,7
Steve Rolls,7
Taylor Bevan,7
Ted Cheeseman,7
Thomas Mattice,7
Vegas Larfield,7
Vincent Astrolabio,7
Viorel Simion,7
Wendy Toussaint,7
William Crolla,7
Wyatt Sanford,7
Yokasta Valle,7
Yordenis Ugas,7
Zhanibek Alimkhanuly,7
Abilkhan Amankul,6
Alantez Fox,6
Ali Akhmedov,6
Amilcar Vidal,6
Anabel Ortiz,6
Andreas Katzourakis,6
Andy Ruiz Jr.,6
Andy Vences,6
Anthony Yigit,6
Antonio Vargas,6
Arlen Lopez,6
Arsen Goulamirian,6
Atheyna Bylon,6
Austin Aokuso,6
Ben Horn,6
Brad Pauls,6
Brian Carlos Castano,6
Brian Ceballo,6
Brian Mendoza,6
Carlos Castro,6
Carlos Cuadras,6
Chordale Booker,6
Colby Madison,6
Conor Wallace,6
Damian Knyba,6
Daniel Jacobs,6
Daniel Lapin,6
Daniele Scardina,6
Danny Garcia,6
Darrelle Valsaint,6
David Light,6
Dec Spelman,6
Delfine Persoon,6
